TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,TS_1,G,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20120111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8898650625,1.0736737708333333,2.3664378749999995,-9999,-9999,-9999,-9999,-9999,-9999,168.97689583333334,-9999,416.1534791666666,-9999,-9999,-9999,9.762270833333336,-9999,100.90847916666668,26.32729166666667,0.0,-9999,3.5456874999999983,79.88818328823102,-1.9000318010200756,16.514635536430124,3.0
20120112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.90017725,1.1366531250000005,2.37211975,-9999,-9999,-9999,-9999,-9999,-9999,185.85275,-9999,411.59508333333315,-9999,-9999,-9999,10.705333333333336,-9999,100.85956249999998,26.370562500000005,0.0,-9999,3.592458333333333,90.6947876120787,-2.16719450774023,16.941280661517958,3.0
20120113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.857440791666667,1.009092916666667,2.3411774583333336,-9999,-9999,-9999,-9999,-9999,-9999,152.1338125,-9999,416.6339375,-9999,-9999,-9999,9.350541666666668,-9999,100.82966666666664,26.108500000000006,0.4620000000000002,-9999,3.136416666666667,70.07989153625338,-1.9704163281086975,15.40464881030786,3.0
20120114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.817970958333333,1.0187020416666668,2.311755125,-9999,-9999,-9999,-9999,-9999,-9999,152.98060416666667,-9999,417.5589791666668,-9999,-9999,-9999,8.344624999999999,-9999,100.660625,25.84039583333333,3.3539999999999983,-9999,2.331083333333333,65.72172405447115,-2.1609340473934058,15.286331638055731,3.0
20120115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7658633125000005,1.0488525833333333,2.2734360000000007,-9999,-9999,-9999,-9999,-9999,-9999,162.54237499999994,-9999,419.0749583333336,-9999,-9999,-9999,6.118333333333335,-9999,100.44618750000002,25.492979166666675,10.441000000000004,-9999,1.3012291666666662,51.6307181614448,-2.2837394999393053,14.003948898754794,3.0
20120116,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.649375791666667,0.8644852708333334,2.1896659375,-9999,-9999,-9999,-9999,-9999,-9999,121.41589583333332,-9999,422.150333333333,-9999,-9999,-9999,5.190624999999999,-9999,100.39172916666668,24.73977083333333,11.541000000000002,-9999,0.5975833333333334,35.519428262510274,-1.638032700145593,12.438236742188368,3.0
20120117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.673253437500001,0.942974375,2.205354770833333,-9999,-9999,-9999,-9999,-9999,-9999,137.304,-9999,419.0402083333333,-9999,-9999,-9999,5.509895833333332,-9999,100.40202083333334,24.880625,13.346000000000007,-9999,1.7334791666666671,39.70611745579578,-2.065260730617991,14.006360780655793,3.0
20120118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7164675000000003,0.9740728125,2.2350025416666672,-9999,-9999,-9999,-9999,-9999,-9999,144.39147916666667,-9999,420.2294375000001,-9999,-9999,-9999,5.712437499999999,-9999,100.4357916666667,25.15429166666667,8.427000000000001,-9999,1.5285416666666665,43.84767246569143,-2.2664843765840668,14.029593682807958,3.0
20120119,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.714910520833333,0.989976875,2.2327193541666666,-9999,-9999,-9999,-9999,-9999,-9999,147.64010416666662,-9999,419.93747916666644,-9999,-9999,-9999,5.392875000000001,-9999,100.48047916666668,25.13497916666667,10.935,-9999,0.9675833333333334,41.9672030620766,-2.442331190056669,14.726859006940057,3.0
20120120,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8398011041666678,1.101314375,2.3191724999999996,-9999,-9999,-9999,-9999,-9999,-9999,176.860625,-9999,414.74570833333337,-9999,-9999,-9999,8.061874999999999,-9999,100.4381875,25.89777083333333,3.486,-9999,1.6107083333333334,69.43354764458826,-3.0680721099097763,15.813588025568153,3.0
20120121,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.806692374999999,1.105773125,2.2949821666666668,-9999,-9999,-9999,-9999,-9999,-9999,176.4694375,-9999,411.58989583333334,-9999,-9999,-9999,8.903083333333333,-9999,100.47477083333335,25.691770833333337,0.402,-9999,2.516625,73.89147754268706,-3.217290514659493,16.66641140514517,3.0
20120122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.830725020833333,1.1459800895833334,2.3105648333333337,-9999,-9999,-9999,-9999,-9999,-9999,189.26347916666668,-9999,414.0966249999999,-9999,-9999,-9999,10.087458333333327,-9999,100.54631249999996,25.828875,0.0,-9999,2.466708333333334,85.70322418760473,-3.4789241886698816,17.999771245739655,3.0
20120123,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.830124875,1.0814994354166667,2.3092412083333334,-9999,-9999,-9999,-9999,-9999,-9999,174.30824999999996,-9999,415.06018749999976,-9999,-9999,-9999,10.474145833333337,-9999,100.583125,25.82597916666667,0.0,-9999,2.5983125,83.64022261211474,-3.3706702254734715,18.775631564970578,3.0
20120124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8577167916666664,1.1932619208333333,2.3268399375000004,-9999,-9999,-9999,-9999,-9999,-9999,203.85260416666677,-9999,407.68977083333357,-9999,-9999,-9999,11.181541666666668,-9999,100.5885,25.969729166666664,0.0,-9999,2.5319583333333333,97.9730170343352,-3.8844602886824733,19.467415204181357,3.0
20120125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8486632500000013,1.1464752916666667,2.3192980833333325,-9999,-9999,-9999,-9999,-9999,-9999,189.11945833333337,-9999,409.5411041666668,-9999,-9999,-9999,10.242395833333337,-9999,100.6235625,25.904625,0.0,-9999,2.392708333333333,87.76775942637416,-3.880351554439961,18.529530620610487,3.0
20120126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7026394375,1.147128666666667,2.215344645833334,-9999,-9999,-9999,-9999,-9999,-9999,190.33070833333335,-9999,408.3734583333333,-9999,-9999,-9999,9.764979166666665,-9999,100.79552083333338,24.97516666666667,0.0,-9999,3.827416666666668,79.72515380383591,-3.865245899868345,19.21221618946657,3.0
20120127,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.825074625,1.0251883541666669,2.3008331250000005,-9999,-9999,-9999,-9999,-9999,-9999,155.70420833333333,-9999,417.3440833333335,-9999,-9999,-9999,10.464145833333333,-9999,100.74070833333336,25.75558333333333,0.18000000000000002,-9999,3.399145833333332,77.91890056513138,-3.3051988122599902,17.444374426775312,3.0
20120128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8454810624999998,1.04303375,2.314244645833334,-9999,-9999,-9999,-9999,-9999,-9999,162.48139583333338,-9999,422.1262083333332,-9999,-9999,-9999,7.6746875,-9999,100.66208333333336,25.88366666666667,4.913999999999998,-9999,2.188479166666668,63.886589986059114,-3.730135663792444,17.61666637438543,3.0
20120129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7137481875000007,0.9908565625000002,2.2202452916666666,-9999,-9999,-9999,-9999,-9999,-9999,150.05999999999997,-9999,422.1612291666669,-9999,-9999,-9999,5.249145833333335,-9999,100.65929166666666,25.037791666666674,16.863,-9999,1.1681875000000004,42.26415619716271,-3.359343807890639,14.274951943592788,3.0
20120130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7862745833333333,1.0507574583333334,2.2697625833333333,-9999,-9999,-9999,-9999,-9999,-9999,164.77037499999997,-9999,418.33002083333344,-9999,-9999,-9999,7.233604166666669,-9999,100.72402083333333,25.476125,3.740999999999999,-9999,1.5168125,59.69197772048051,-3.776904171935764,13.757727417567418,3.0
20120131,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.80842725,1.100806125,2.284039583333333,-9999,-9999,-9999,-9999,-9999,-9999,176.27068749999995,-9999,417.2478333333336,-9999,-9999,-9999,6.8120416666666666,-9999,100.7385,25.603166666666667,7.050000000000002,-9999,1.3710833333333332,61.7627177423401,-4.30502386038544,13.337832102026976,3.0
20120201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7335233750000003,0.9997955208333336,2.230522833333333,-9999,-9999,-9999,-9999,-9999,-9999,151.01804166666662,-9999,417.65720833333313,-9999,-9999,-9999,7.378916666666666,-9999,100.81885416666668,25.131125,1.1699999999999986,-9999,2.4170208333333325,56.628785753366216,-3.6109908300488103,15.19352040825767,3.0
20120202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7414150625,1.0925366041666666,2.2344590416666668,-9999,-9999,-9999,-9999,-9999,-9999,177.10985416666665,-9999,414.60118750000015,-9999,-9999,-9999,7.825583333333333,-9999,100.83297916666668,25.156770833333336,3.204000000000001,-9999,2.1298541666666675,66.73354152057583,-4.481840024955277,15.015125700580954,3.0
20120203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.6641591041666666,0.9999848333333332,2.1790658541666668,-9999,-9999,-9999,-9999,-9999,-9999,148.83468749999997,-9999,412.63404166666703,-9999,-9999,-9999,7.177541666666667,-9999,100.93627083333332,24.66027083333334,2.766,-9999,3.033395833333333,50.758798164126226,-3.7006140887609895,17.106682983754812,3.0
20120204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.727488791666667,1.0627410416666667,2.2222453125,-9999,-9999,-9999,-9999,-9999,-9999,164.6839375,-9999,407.69674999999984,-9999,-9999,-9999,9.286270833333333,-9999,100.9785,25.0469375,1.0379999999999994,-9999,2.9864791666666664,69.70654648200181,-4.164851865481025,17.055786615195373,3.0
20120205,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.809894604166667,1.1466817083333332,2.278710125,-9999,-9999,-9999,-9999,-9999,-9999,189.10677083333331,-9999,407.71895833333326,-9999,-9999,-9999,10.612479166666667,-9999,100.90127083333334,25.55241666666666,0.0,-9999,2.9626875000000013,89.92558760958376,-4.880445168290323,17.508014589054326,3.0
20120206,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.861336708333333,1.226971791666667,2.3129895208333333,-9999,-9999,-9999,-9999,-9999,-9999,213.65552083333333,-9999,407.07500000000016,-9999,-9999,-9999,11.184562499999998,-9999,100.69195833333332,25.84777083333334,0.0,-9999,1.9099375,102.06234178653575,-5.5276236959626415,16.534369891821367,3.0
20120207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8548432708333333,1.2074202500000004,2.3056075833333325,-9999,-9999,-9999,-9999,-9999,-9999,206.72289583333333,-9999,411.1715833333331,-9999,-9999,-9999,10.613770833333334,-9999,100.56639583333332,25.741395833333332,0.0,-9999,1.1120625,99.19251351491505,-5.425784880921147,15.300906937272474,3.0
20120208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8594058125,1.1707763750000002,2.3095938958333333,-9999,-9999,-9999,-9999,-9999,-9999,195.96652083333333,-9999,413.8965208333332,-9999,-9999,-9999,9.702416666666666,-9999,100.67564583333336,25.82891666666666,0.07200000000000001,-9999,2.5084375000000008,88.29844328256206,-5.4203397451545605,18.13193394517329,3.0
20120209,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7618146249999995,1.0117192083333333,2.241152145833334,-9999,-9999,-9999,-9999,-9999,-9999,152.46714583333338,-9999,416.73108333333334,-9999,-9999,-9999,8.069874999999998,-9999,100.78629166666666,25.241395833333332,1.3199999999999985,-9999,3.2120208333333333,59.397519320323276,-4.257129825610783,18.568686144778678,3.0
20120210,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.761264333333333,1.0464843541666669,2.2396113541666667,-9999,-9999,-9999,-9999,-9999,-9999,161.0368333333334,-9999,413.9591666666668,-9999,-9999,-9999,7.79627083333333,-9999,100.83883333333335,25.229270833333338,4.949999999999998,-9999,3.1059791666666667,60.098106799448225,-4.647767813112247,18.451522260352085,3.0
20120211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.8484924583333333,1.210141875,2.2988582083333333,-9999,-9999,-9999,-9999,-9999,-9999,207.75964583333337,-9999,411.1446458333329,-9999,-9999,-9999,10.14389583333333,-9999,100.86495833333332,25.74924999999999,0.21,-9999,3.3248541666666664,92.63239397857672,-5.728898558861878,21.303014043807988,3.0
20120212,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.6126144375,0.50010875,2.132772020833334,-9999,-9999,-9999,-9999,-9999,-9999,57.55039583333334,-9999,416.75714583333337,-9999,-9999,-9999,6.911229166666666,-9999,100.81897916666668,24.25566666666666,15.289999999999996,-9999,3.2978124999999987,26.42286572055257,-0.8847904514311472,19.401181374580226,3.0
20120213,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7291073125000005,0.8122880625,2.213673041666667,-9999,-9999,-9999,-9999,-9999,-9999,110.69452083333336,-9999,423.50572916666687,-9999,-9999,-9999,5.379687500000002,-9999,100.75764583333336,25.000937500000006,14.15799999999999,-9999,3.0805,36.294815215472134,-3.14060684479648,19.14683719410125,3.0
20120214,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.851209437500001,0.9824887083333336,2.297610749999999,-9999,-9999,-9999,-9999,-9999,-9999,145.18435416666668,-9999,421.7713958333334,-9999,-9999,-9999,7.5008124999999986,-9999,100.72766666666666,25.753208333333333,2.2020000000000017,-9999,2.739625,60.38118679629101,-4.231270192520348,18.129199382677648,3.0
20120215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.9963808333333333,1.1763179791666667,2.396476395833333,-9999,-9999,-9999,-9999,-9999,-9999,199.97168750000003,-9999,422.70000000000033,-9999,-9999,-9999,9.165208333333332,-9999,100.47708333333334,26.614,0.978,-9999,1.782520833333333,91.39314933344322,-5.900604237372995,16.946536663564178,3.0
