TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,WTD,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20120419,-0.3041822500000001,26.272223461538452,118.22258884615385,1.2040525208333337,0.23834955172413794,184.01717958333344,10.775707291666665,386.89810416666666,380.18937499999987,371.5554140643765,17.275717645833332,4.900786666666666,67.21410416666669,-9999,12.456210416666664,0.0,12.412254166666665,12.48605416666667,12.505250000000006,12.422208333333336,12.061056250000002,11.343552083333336,-0.029437499999999995,42.07272916666667,0.6235585520833333,0.5612098333333332,1.0811333749999998,0.6840866666666666,62.35208333333335,2.7751875,-0.06234658333333337,15.256021041666665,90.24576874999998,2.2808650104166666,184.78343750000008,10.775707291666665,386.89810416666666,380.18937499999987,371.5554140643765,17.275717645833332,4.905270833333335,67.21410416666669,102.0596666666667,12.456270833333335,0.0,-0.029437499999999995,2.7751875,84.57879085678532,0.047940436119172786,2.288324716016907,1.0
20120420,-0.2410217777777777,8.605891999999999,61.700562142857144,3.0165616,0.24445221428571426,114.83941666666664,6.314586458333332,379.4415416666666,373.634375,241.62639456062504,11.259327677083334,4.6854562500000005,65.28577083333333,-9999,11.247483125,0.0,10.920479166666668,10.962954166666664,11.19476875,11.627041666666667,11.752464583333335,11.426104166666667,-0.02933333333333332,37.27162499999999,0.5635001770833333,0.4231270000000001,0.7939004375000001,0.6267499999999998,66.75744680851062,2.851234042553192,-0.14037260416666664,6.3383160416666655,61.83799208333334,3.359516458333332,115.43264583333332,6.314586458333332,379.4415416666666,373.634375,241.62639456062504,11.259327677083334,4.6901875,65.28577083333333,102.29183333333329,11.247500000000002,0.0,-0.02933333333333332,2.8265000000000007,58.98886344909352,0.018929925590476803,4.043671852290241,1.0
20120421,-1.1699909090909093,27.440492592592587,93.6970511111111,7.6801276,0.2685228214285715,173.4727420833334,10.152947208333332,374.34975,368.565625,349.56611899687516,16.2612558125,4.580011041666666,63.69075000000001,-9999,10.254167291666663,0.0,10.147279166666666,10.056835416666667,10.366285416666663,10.96858125,11.278181249999998,11.280618750000002,-0.029291666666666657,33.22970833333334,0.9192174729166664,0.3318661875,1.0930218541666663,0.5837064583333332,63.88333333333333,3.1673124999999986,-0.5873487291666669,19.07392854166666,79.60546666666667,5.424995208333333,174.16479166666667,10.152947208333332,374.34975,368.565625,349.56611899687516,16.2612558125,4.584583333333332,63.69075000000001,102.42708333333331,10.254104166666666,0.0,-0.029291666666666657,3.1673124999999986,76.82711292602711,-0.3524536219258849,7.163604858921863,1.0
20120422,-0.8489750000000001,15.992714285714287,60.24648571428572,7.2367,0.12414590555555555,58.09834537500001,2.289745958333333,369.99989583333354,364.4910416666667,136.7984584102144,6.149367179166667,2.156328041666667,81.6901875,-9999,9.512522083333332,5.4,9.824777083333332,9.867629166666667,9.946664583333332,10.212168750000002,10.7275,11.097722916666667,-0.026958333333333338,31.02708333333333,0.2146315166666667,0.3149562916666667,0.4687998541666666,0.5544972916666665,154.2425531914894,1.191617021276596,0.1003258375,-3.0385729166666664,36.931479166666655,3.987957291666668,58.93450000000001,2.289745958333333,369.99989583333354,364.4910416666667,136.7984584102144,6.149367179166667,2.1576041666666668,81.6901875,102.14597916666666,9.5125,5.4,-0.026958333333333338,1.1928541666666668,15.3151168954008,0.2475429708514997,1.811508357013864,1.0
20120423,-9999,26.31,9.11167,-9999,0.11392889047619048,52.71604287500001,1.744955666666666,392.49062500000014,387.8875,128.40916416666664,7.098074656250002,1.2322130833333336,92.4658125,-9999,13.975393750000006,10.399999999999991,14.268479166666667,14.038062500000002,13.46622916666667,12.27145833333333,11.287508333333333,10.91285625,-0.0254375,36.84020833333333,0.17609696999999996,0.4639908541666667,0.4423897083333333,0.8539504166666667,150.91041666666666,1.3093541666666668,0.2878943958333333,-2.7608,28.08549166666667,1.676821041666666,53.6519375,1.744955666666666,392.49062500000014,387.8875,128.40916416666664,7.098074656250002,1.2328541666666668,92.4658125,101.23575,13.975458333333336,10.399999999999991,-0.0254375,1.3093541666666668,2.4568100610871397,0.3109955869499336,-0.10428653054535507,1.0
20120424,-1.257608142857143,69.19843333333333,248.11721642857142,-5.640409999999998,0.19120145714285716,289.27384266666667,17.335644375,414.65216666666674,405.59687499999984,554.9908882978723,27.30873923083334,5.5882845625,74.21304166666667,-9999,16.91596041666666,0.5,18.693979166666654,18.354000000000006,17.7055625,15.862041666666668,13.381902083333333,11.381793749999998,-0.02758333333333335,39.190041666666666,0.92052325625,0.5876663958333334,1.4050411041666664,1.0949795833333331,193.12291666666667,1.882958333333333,-0.33286341666666663,26.175537499999994,129.85691041666664,-2.109162484375,289.97566666666665,17.335644375,414.65216666666674,405.59687499999984,578.309828125,27.30873923083334,5.591499999999999,74.21304166666667,100.8535625,16.916083333333336,0.5,-0.02758333333333335,1.882958333333333,116.01313696990715,-0.13354153142803632,-0.3486136482667619,1.0
20120425,-1.1118391538461536,35.739643750000006,140.66901823529406,4.806530000000001,0.2207031473684211,205.19668404166663,12.411745208333327,404.3677916666666,397.2352083333333,409.4171966666667,21.47150131375,4.7268645625,75.31656249999997,-9999,15.59517916666667,0.5,16.657104166666667,16.658833333333334,16.521500000000007,15.824604166666665,14.437214583333333,12.492414583333336,-0.009708333333333334,39.72795833333333,0.8243644375000003,0.5478696458333334,1.3534827291666665,0.8661693749999998,105.03750000000002,2.5577500000000004,-0.27649489375,18.09972270833333,99.79040416666665,2.2165595833333334,205.93389583333337,12.411745208333327,404.3677916666666,397.2352083333333,409.4171966666667,21.47150131375,4.730145833333334,75.31656249999997,101.12577083333332,15.595145833333332,0.5,-0.009708333333333334,2.5577500000000004,81.6685711112127,-0.1304427118327889,2.433812364761004,1.0
20120426,-0.1146826857142857,-3.4227200000000013,47.11625941176471,2.484416,0.21636621212121213,78.6586795,5.047859791666666,406.51308333333327,402.95812500000005,178.81756833333336,12.880909449791668,4.439016249999999,77.9955625,-9999,16.706993750000006,3.0000000000000004,16.51804166666667,16.48577083333333,16.312437499999998,15.844041666666667,14.966247916666667,13.37157083333334,0.023541666666666683,46.92145833333336,0.44602703666666654,0.6111455624999997,0.5996770937499999,0.8880791666666669,148.775,3.4543541666666666,0.1651208229166667,-0.8230022916666678,39.66230791666665,0.5441324791666663,79.39652083333333,5.047859791666666,406.51308333333327,402.95812500000005,178.81756833333336,12.880909449791668,4.441479166666668,77.9955625,100.77754166666664,16.707000000000004,3.0000000000000004,0.023541666666666683,3.4543541666666666,41.80975459057896,0.3695587295237745,3.1111502609459856,1.0
20120427,-9999,-9999,-9999,-9999,0.17721399230769228,40.720627500000006,2.37994393125,398.69454166666674,397.2620833333333,112.59256937499998,9.607482083333334,1.1901160416666663,93.36231250000002,-9999,15.805437500000005,41.200000000000024,16.556756756756762,16.420999999999996,16.11618918918919,15.516378378378375,14.96241891891892,13.570976470588233,0.020958333333333343,47.50502941176472,0.5033868958333333,0.5997491250000002,0.3285943666666666,0.7832404166666667,65.7969696969697,1.935969696969697,0.09636395833333332,-4.4777645833333315,18.152308333333327,-0.16681604166666675,41.1315625,2.37994393125,398.69454166666674,397.2620833333333,112.59256937499998,9.607482083333334,1.191145833333333,93.36231250000002,100.79235416666666,15.80547916666667,41.200000000000024,0.020958333333333343,1.926895833333333,0.692900944357906,0.4113815221823636,2.844771717641249,1.0
20120428,0.64222,58.91,103.6332,3.542,0.1731457,270.8719553645834,29.95346216104167,400.68172916666657,394.14812500000016,538.9710614583333,59.564319674119986,2.740782234042554,84.55089361702126,-9999,14.964172340425526,0.0,19.764277777777775,19.918444444444443,19.91811111111112,19.019000000000002,16.396338888888895,13.796966666666668,-0.003208333333333336,52.683599999999984,0.7192731249999998,0.5946183958333332,1.3015169750000004,0.7006554166666666,104.78235294117648,2.613823529411764,-0.1246617395833333,19.955262499999982,87.87324583333337,0.6001716666666667,271.337875,29.95346216104167,400.68172916666657,394.14812500000016,538.9710614583333,59.564319674119986,2.842708333333334,84.19547916666664,101.48260416666666,15.013395833333332,0.0,-0.003208333333333336,1.9023541666666663,60.977467634325855,-0.060625537386223866,1.7909178125053702,1.0
