TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,G,SWC,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,SWC_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20090101,-9999,-9999,-9999,-9999,-9999,24.948936170212768,13.355319148936172,5.525531914893618,30.06143617021276,0.19333912959650346,96.941914893617,101.6341044468085,0.07625531914893616,3.4000000000000004,2.119148936170212,2.8104255319148947,3.379787234042554,5.944255319148938,65.52553191489362,8.593140425531914,8.851151887234042,0.035794433829787226,0.20547848936170204,128.81603846153843,1.0599615384615382,0.25801238297872325,0.1710224255319149,0.0015909787234042602,-9999,25.006382978723412,13.355319148936172,235.5984255319148,5.525531914893618,30.06143617021276,5.9555319148936166,96.941914893617,101.63406382978715,0.07623404255319145,3.4000000000000004,5.944255319148938,65.52553191489362,0.930340425531915,-0.2846259834317589,0.5215294430652108,3.738223736552317,3.0
20090102,-9999,-9999,-9999,-9999,-9999,12.28333333333333,2.345833333333334,2.889583333333333,23.133776041666675,0.003263888738433051,99.94937499999996,101.20353620833332,-1.4485333333333337,0.0,1.9887499999999996,2.8339583333333347,3.4497916666666657,5.989166666666668,65.50625000000002,7.045495833333333,7.320321652083334,0.019039977083333333,0.16832902083333334,132.2045208333333,1.1006458333333335,0.274823125,0.16616999791666665,0.11558375187500003,-9999,12.43125,2.345833333333334,203.285125,2.889583333333333,23.133776041666675,5.499437500000003,99.94937499999996,101.20343750000004,-1.4485833333333331,0.0,5.989166666666668,65.50625000000002,1.1006458333333335,-0.8101894186106829,0.4947171568106406,2.3314551642335037,3.0
20090103,-9999,-9999,-9999,-9999,-9999,16.845833333333335,3.431249999999999,-5.633333333333333,33.97447916666667,0.4515958739488232,93.265625,101.29616910416661,-0.12479999999999987,0.6000000000000001,1.8443749999999997,2.7306249999999976,3.3812500000000014,6.614166666666665,65.58125,8.425875,8.699543014583332,0.02630951625000001,0.20189933333333326,156.83860416666667,1.2948749999999998,0.2736658333333333,1.4868547916666672,0.10013777291666663,-9999,17.556250000000002,3.431249999999999,220.91125,-5.633333333333333,33.97447916666667,5.629395833333334,93.265625,101.29606250000002,-0.12475,0.6000000000000001,6.614166666666665,65.58125,1.2948749999999998,-0.18831277180839587,0.4946423621109449,2.93635945781648,3.0
20090104,-9999,-9999,-9999,-9999,-9999,18.312500000000007,5.647916666666667,10.452083333333334,34.82854166666666,0.038094631092765334,99.18708333333332,100.96113716666666,-3.4894666666666665,0.0,1.0337499999999993,2.427291666666666,3.1962500000000005,10.941458333333333,65.93958333333336,5.29802291666667,5.574105672916668,0.028353300000000012,0.12646225000000005,137.0888125,0.8905416666666667,0.27609107291666674,0.8339554583333334,-0.34926208333333336,-9999,19.02291666666667,5.647916666666667,197.3598125000001,10.452083333333334,34.82854166666666,4.6991041666666655,99.18708333333332,100.96091666666666,-3.4894166666666666,0.0,10.941458333333333,65.93958333333336,0.8905416666666667,-1.0378449965239542,0.4523449080578712,4.311786308776242,3.0
20090105,-9999,-9999,-9999,-9999,-9999,10.258333333333336,2.8520833333333337,5.650000000000001,19.682734375000006,0.037012568512367464,99.22041666666668,100.47800302083334,-2.7846666666666664,0.0,0.9674999999999994,2.134791666666666,2.8860416666666664,8.324374999999998,66.05833333333335,5.906675000000001,6.1592958062499985,0.016218610416666668,0.14046162499999995,136.2421875,0.6532708333333334,0.2526248333333333,-1.2928022916666662,-0.41452,-9999,10.477083333333333,2.8520833333333337,220.1558125,5.650000000000001,19.682734375000006,4.9587291666666635,99.22041666666668,100.47800000000002,-2.784604166666668,0.0,8.324374999999998,66.05833333333335,0.6532708333333334,-1.0517671866636809,0.4716004991292938,4.441731128219931,3.0
20090106,-9999,-9999,-9999,-9999,-9999,6.875000000000001,13.01875,-5.535416666666667,5.46325520833333,0.028506827109964324,99.50270833333332,100.64884725,-1.197866666666666,0.0,1.1262499999999995,2.0549999999999997,2.7797916666666675,7.0335416666666655,65.9666666666667,7.45602083333333,7.550900372916669,0.011258494166666666,0.17388518749999995,230.57802127659562,0.9588510638297872,0.0948870833333334,-0.8440122916666669,0.2172008333333333,-9999,7.206250000000002,13.01875,280.44893749999994,-5.535416666666667,5.46325520833333,5.573333333333332,99.50270833333332,100.64881249999992,-1.1977708333333328,0.0,7.0335416666666655,65.9666666666667,0.957375,-0.7809714347938229,0.4845864540024296,4.235888179830332,3.0
20090107,-9999,-9999,-9999,-9999,-9999,9.435416666666663,16.391666666666662,-6.033333333333332,4.85265625,-0.031233467360278818,100.52604166666669,100.63165206249998,-0.3306666666666665,0.6000000000000001,1.302083333333334,2.1283333333333325,2.7900000000000023,6.701041666666664,66.07500000000003,8.202010416666669,8.429067412499998,0.014762305416666668,0.19520950000000006,196.444,1.338,0.2270601874999999,-0.18588395833333346,-0.06717645833333334,-9999,9.575,16.391666666666662,285.49812500000013,-6.033333333333332,4.85265625,6.003104166666668,100.52604166666669,100.63152083333334,-0.3306875000000003,0.6000000000000001,6.701041666666664,66.07500000000003,1.1078333333333334,-0.6490835667489679,0.4924873041561498,4.701266536920646,3.0
20090108,-9999,-9999,-9999,-9999,-9999,31.381250000000005,24.72916666666665,3.225,73.65640624999997,0.2369610024535585,96.50249999999998,101.32168491666668,0.8309333333333333,15.799999999999995,1.4449999999999992,2.204583333333332,2.7906250000000017,6.587083333333332,66.02916666666664,9.381614583333327,9.686402808333332,0.044392897708333316,0.2259026458333333,194.2879374999999,1.6957291666666665,0.3048204791666665,0.7193120833333334,0.05647493750000001,-9999,31.410416666666666,24.72916666666665,287.3450625,3.225,73.65640624999997,6.258375,96.50249999999998,101.32162500000004,0.8309583333333332,15.799999999999995,6.587083333333332,66.02916666666664,1.6957291666666665,-0.13234965594639345,0.4941323302596337,5.738342588754977,3.0
20090109,0.007792500000000008,2.413636363636364,-0.2809090909090909,-9999,0.03873684210526316,83.0,62.32083333333333,-32.11666666666666,191.0457291666668,1.4992855307128916,76.2875,102.03687938297868,-1.3146666666666669,3.2000000000000006,1.5495833333333344,2.2533333333333325,2.8639583333333327,6.4224999999999985,65.93124999999999,7.5781060625000025,7.917228750000002,0.10032212500000004,0.18352325000000005,147.9064666666667,0.971622222222222,0.3391549583333333,0.9703051229166668,-0.14875585416666667,-9999,83.86666666666666,62.32083333333333,229.48625,-32.11666666666666,191.0457291666668,4.210250000000001,76.2875,102.02764583333338,-1.3145833333333332,3.2000000000000006,6.4224999999999985,65.93124999999999,0.9528124999999998,1.224798015170313,0.3957598612114524,5.343850297438223,3.0
20090110,1.5654887999999996,0.5997297297297296,-0.7578378378378378,-9999,0.05827083333333335,51.71666666666668,43.57083333333333,-9.772916666666664,120.21611979166669,0.2252762042541452,93.89395833333332,101.91187399999995,-7.545733333333334,0.2,1.6810416666666663,2.3470833333333325,2.9345833333333347,6.1712500000000015,65.88958333333333,1.9686696875,3.324086283333333,0.0690813,0.07413993750000003,168.01472916666663,0.4883750000000001,1.355435125,0.6275701041666665,-0.6795386874999997,-9999,52.4,43.57083333333333,216.25718750000019,-9.772916666666664,120.21611979166669,3.3668125000000004,93.89395833333332,101.91174999999998,-7.545791666666667,0.2,6.1712500000000015,65.88958333333333,0.4883750000000001,-0.9799269254390036,0.8211095564391194,5.093370086122548,3.0
