TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20090101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.069367723404255,0.2641459787234042,1.5712077680851064,-9999,-9999,-9999,-9999,-9999,-9999,115.18891489361704,276.01953191489355,-9999,-9999,-9999,2.543978723404256,-9999,101.91640425531912,7.053297872340428,0.0,-9999,-9999,2.7496382978723406,28.52645959411975,1.6579201762771871,14.497788415932634,3.0
20090102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0984271875000005,0.061536145833333326,1.5922860124999998,-9999,-9999,-9999,-9999,-9999,-9999,9.541145833333337,329.8671250000002,-9999,-9999,-9999,0.5903749999999998,-9999,101.36829166666666,7.403541666666667,2.354,-9999,-9999,2.8949166666666666,18.412414826735137,1.741548932736231,14.654897609848833,3.0
20090103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.907407625,0.262001125,1.4617626645833328,-9999,-9999,-9999,-9999,-9999,-9999,116.90147916666666,252.46668749999992,-9999,-9999,-9999,2.3506875,-9999,101.58904166666667,5.242562500000001,0.07200000000000001,-9999,-9999,3.7935,23.048503145002545,1.5978959885198316,14.594323242149882,3.0
20090104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.7049677291666667,0.26265175,1.3209955395833333,-9999,-9999,-9999,-9999,-9999,-9999,117.40333333333332,248.3516874999999,-9999,-9999,-9999,2.8588125000000004,-9999,102.02829166666668,2.876770833333333,0.0,-9999,-9999,2.231875,19.262064622212996,1.4494283553396323,14.822797434469495,3.0
20090105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.8634600416666671,0.06822447916666667,1.4324726125000005,-9999,-9999,-9999,-9999,-9999,-9999,10.908,314.135125,-9999,-9999,-9999,2.6382499999999998,-9999,102.25152083333336,4.7625,0.184,-9999,-9999,2.366333333333333,17.279563506354762,1.5549477090973085,14.944838080925296,3.0
20090106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.062305270833334,0.2625960416666667,1.5656889270833336,-9999,-9999,-9999,-9999,-9999,-9999,115.62220833333336,278.1384375000003,-9999,-9999,-9999,2.6226875,-9999,102.36152083333336,6.958520833333332,0.0,-9999,-9999,3.6283541666666665,28.6023838969978,1.5650297718551045,14.32214243810713,3.0
20090107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.118198583333333,0.263159375,1.604121320833334,-9999,-9999,-9999,-9999,-9999,-9999,116.55383333333332,274.33200000000005,-9999,-9999,-9999,2.2628958333333333,-9999,102.23795833333334,7.598729166666666,0.0,-9999,-9999,2.2879166666666664,28.843354362242852,1.6085337197981942,15.776914937471759,3.0
20090108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.1266127708333333,0.26204041666666666,1.61025628125,-9999,-9999,-9999,-9999,-9999,-9999,113.46370833333332,269.1874375,-9999,-9999,-9999,2.3487500000000003,-9999,102.05391666666664,7.699979166666665,0.0,-9999,-9999,3.3281041666666678,28.996007707642136,1.6069624005823124,16.14082190247036,3.0
20090109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.1356310624999995,0.25763041666666664,1.6161630708333332,-9999,-9999,-9999,-9999,-9999,-9999,126.29095833333334,248.0828125,-9999,-9999,-9999,5.470208333333335,-9999,102.47929166666664,7.798749999999997,0.0,-9999,-9999,4.141125,39.43564602302296,1.60327683348618,15.746693126318467,3.0
20090110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0371119375,0.2716212499999999,1.5480473958333336,-9999,-9999,-9999,-9999,-9999,-9999,126.28289583333334,251.45962500000007,-9999,-9999,-9999,4.406625000000001,-9999,103.23222916666668,6.666520833333334,0.0,-9999,-9999,2.8881875000000012,34.1599684086925,1.5347152879296753,15.937504544844565,3.0
20090111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.1958023958333337,0.178541875,1.6541750812499998,-9999,-9999,-9999,-9999,-9999,-9999,125.87147916666665,265.194,-9999,-9999,-9999,6.029333333333333,-9999,103.05152083333333,8.427458333333336,0.0,-9999,-9999,3.58975,42.56803666369297,1.6041324035480062,17.623077491260567,3.0
