TIMESTAMP,NEE,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,G,WTD,SWC,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,SWC_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20170101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.5875677234042552,1.688931914893617,2.2465602127659574,-9999,-9999,-9999,-9999,-9999,85.38108510638298,-9999,336.9989787234044,-9999,-9999,-9999,-9999,0.5628510638297871,-9999,100.86002127659576,11.467255319148936,0.069,-9999,-9999,-9999,1.5049148936170214,40.714091906790316,0.1815476571391948,-71.42315817202329,3.0
20170102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.8016621249999999,0.4820514416666668,2.8593047916666667,-9999,-9999,-9999,-9999,-9999,7.6611875,-9999,386.7808541666664,-9999,-9999,-9999,-9999,0.2421875,-9999,100.44747916666672,15.185854166666667,32.77499999999999,-9999,-9999,-9999,2.126145833333333,28.11150704710567,-0.4556555880668238,-63.17662904378053,3.0
20170103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.7509190208333333,1.58821875,2.717379166666667,-9999,-9999,-9999,-9999,-9999,80.94979166666667,-9999,365.58837500000016,-9999,-9999,-9999,-9999,1.2073333333333334,-9999,100.66777083333332,14.355604166666666,0.099,-9999,-9999,-9999,2.6099375,37.12010332184907,0.08091048641024136,-65.74318728804985,3.0
20170104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.32640975000000005,1.7799166666666668,1.42439375,-9999,-9999,-9999,-9999,-9999,113.9786666666667,-9999,270.95875000000007,-9999,-9999,-9999,-9999,1.999479166666667,-9999,101.454875,5.559416666666667,0.0,-9999,-9999,-9999,2.967916666666666,46.91111729431364,-0.1021955524174335,-72.57738274284928,3.0
20170105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.28839358333333337,1.7334229166666668,1.29035,-9999,-9999,-9999,-9999,-9999,112.41235416666667,-9999,272.74324999999993,-9999,-9999,-9999,-9999,1.5310416666666666,-9999,101.08010416666664,4.374583333333334,0.0,-9999,-9999,-9999,2.1514375,48.12407599345496,-0.08686677076000486,-67.7039242868184,3.0
20170106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.17569868750000006,1.5352708333333334,0.88206375,-9999,-9999,-9999,-9999,-9999,80.60470833333333,-9999,288.0197500000001,-9999,-9999,-9999,-9999,1.2807499999999998,-9999,101.92827083333336,0.545125,0.3930000000000001,-9999,-9999,-9999,3.609145833333333,46.154691656893775,-0.8695386892048113,-67.76640049303964,3.0
20170107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.14419135416666665,1.8611979166666663,0.7534772916666669,-9999,-9999,-9999,-9999,-9999,138.6497916666667,-9999,218.46937500000013,-9999,-9999,-9999,-9999,1.2608541666666668,-9999,103.11683333333336,-0.9818333333333334,0.0,-9999,-9999,-9999,2.318458333333333,49.43719219207077,-0.9662883699835032,-67.74251273791239,3.0
20170108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.172901125,1.7605166666666665,0.860960625,-9999,-9999,-9999,-9999,-9999,101.23702083333336,-9999,245.24029166666665,-9999,-9999,-9999,-9999,1.185625,-9999,103.34670833333335,0.08231250000000014,0.0,-9999,-9999,-9999,1.4362500000000002,41.89906627164289,-0.6741992596761895,-62.5345671678306,3.0
20170109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.3495067708333333,1.8397333333333328,1.4838083333333338,-9999,-9999,-9999,-9999,-9999,130.90287499999997,-9999,271.52866666666665,-9999,-9999,-9999,-9999,1.5749791666666668,-9999,102.37983333333332,5.751020833333333,0.0,-9999,-9999,-9999,3.209104166666666,52.89907706272053,0.006145345468163833,-54.32959465171618,3.0
20170110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.8570838541666667,1.6207333333333331,3.004791458333333,-9999,-9999,-9999,-9999,-9999,80.3405416666667,-9999,349.14991666666685,-9999,-9999,-9999,-9999,1.8993958333333332,-9999,101.0078125,15.949479166666675,0.4679999999999999,-9999,-9999,-9999,5.3097916666666665,35.05999197763635,-0.23096811728983405,-70.99662413865117,3.0
