TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_2,G,WTD,SWC_1,SWC_2,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20150101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7310380000000001,0.6186913617021277,0.10292221276595746,-9999,-9999,-9999,-9999,-9999,-9999,120.61859574468086,-9999,194.21534042553193,-9999,-9999,1.6019361702127652,-9999,99.45140425531912,-9.12668085106383,0.0,-9999,-9999,3.1867446808510635,15.72784356545536,0.9437957479324384,8.742001248907147,3.0
20150102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7861716875000001,0.601710125,0.12408202083333332,-9999,-9999,-9999,-9999,-9999,-9999,116.24635416666663,-9999,211.5045416666668,-9999,-9999,1.7829583333333323,-9999,99.64266666666668,-7.7897083333333335,0.0,-9999,-9999,2.7370625000000004,16.66827739980261,0.9545490638621648,8.975675483542856,3.0
20150103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8610433958333333,0.5955373541666668,0.16297533333333333,-9999,-9999,-9999,-9999,-9999,-9999,113.06774999999998,-9999,225.2986666666668,-9999,-9999,1.5992916666666668,-9999,99.64393750000004,-5.967604166666668,0.0,-9999,-9999,1.8276874999999997,16.15763121660368,0.963673219292597,8.946925824215079,3.0
20150104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1030926041666664,0.5646382708333332,0.2970900625000001,-9999,-9999,-9999,-9999,-9999,-9999,98.67981250000004,-9999,269.7471249999999,-9999,-9999,1.3977708333333334,-9999,99.16597916666666,-0.01566666666666684,0.294,-9999,-9999,1.8616249999999992,14.563724367988534,0.9893639794807546,9.176034281416829,3.0
20150105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1246649375000002,0.5191279583333334,0.3134967291666666,-9999,-9999,-9999,-9999,-9999,-9999,85.26460416666666,-9999,284.71424999999994,-9999,-9999,1.6853333333333336,-9999,99.18922916666664,0.5312291666666668,0.63,-9999,-9999,1.2646250000000003,13.657116027371506,1.0029838753249505,9.270795504731712,3.0
20150106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.9326857291666668,0.6163729166666668,0.19526041666666666,-9999,-9999,-9999,-9999,-9999,-9999,121.6380625,-9999,231.3069375000002,-9999,-9999,1.7818124999999994,-9999,98.802875,-4.2219375,1.3019999999999996,-9999,-9999,2.911499999999999,16.668143970757296,0.9871071884889284,8.286807372024535,3.0
20150107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8083157499999998,0.6154835416666667,0.1335671875,-9999,-9999,-9999,-9999,-9999,-9999,120.53368749999998,-9999,203.03718750000007,-9999,-9999,2.076041666666667,-9999,99.42387499999997,-7.253208333333332,0.0,-9999,-9999,2.1927708333333333,17.399365736635907,0.9760083570577172,8.76859314813088,3.0
20150108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8368064999999999,0.6152610416666666,0.14714958333333333,-9999,-9999,-9999,-9999,-9999,-9999,120.04758333333336,-9999,210.80089583333347,-9999,-9999,1.902479166666666,-9999,99.7229375,-6.5600625,0.0,-9999,-9999,1.7389374999999998,16.98188371900164,0.9847132573773221,8.612996774554366,3.0
20150109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8895551666666667,0.6128464583333334,0.17307304166666668,-9999,-9999,-9999,-9999,-9999,-9999,118.51641666666669,-9999,219.57041666666663,-9999,-9999,2.123770833333334,-9999,99.700875,-5.274499999999999,0.0,-9999,-9999,2.31375,18.10454004317519,0.9963168408848064,8.379570303341545,3.0
20150110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.9617307291666668,0.6110943750000001,0.2109330833333333,-9999,-9999,-9999,-9999,-9999,-9999,117.4410625,-9999,229.11308333333335,-9999,-9999,2.0018541666666665,-9999,99.57566666666663,-3.5119166666666666,0.0,-9999,-9999,2.546041666666667,17.794263590918774,1.0101255284787547,7.90165509814999,3.0
20150111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0192908749999998,0.6006454166666668,0.2390157291666666,-9999,-9999,-9999,-9999,-9999,-9999,112.1879375,-9999,242.68708333333333,-9999,-9999,1.9877708333333333,-9999,99.59277083333336,-2.115229166666667,0.306,-9999,-9999,2.8435624999999987,17.031316880588502,1.024761204170581,7.75574120192571,3.0
20150112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.9204015416666668,0.6263208333333333,0.18765120833333332,-9999,-9999,-9999,-9999,-9999,-9999,124.22822916666664,-9999,216.837,-9999,-9999,2.0481041666666666,-9999,100.68275,-4.525125,0.0,-9999,-9999,1.2343125,18.3172706443318,1.0082749942331308,8.470869085793202,3.0
20150113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.9976537083333332,0.6199414583333335,0.2307644375000001,-9999,-9999,-9999,-9999,-9999,-9999,121.22524999999996,-9999,236.75008333333324,-9999,-9999,2.243229166666667,-9999,100.79639583333334,-2.6293125000000006,0.0,-9999,-9999,1.0543958333333336,19.043501328355482,1.0202429333237542,8.574484145322486,3.0
20150114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0987156875,0.4908435416666667,0.29189056249999995,-9999,-9999,-9999,-9999,-9999,-9999,72.87612499999999,-9999,285.7836666666668,-9999,-9999,2.398729166666666,-9999,100.2053125,-0.13575000000000012,0.0,-9999,-9999,0.894395833333333,14.532550156853421,1.0559250959546047,8.604768027947209,3.0
